x,y,cell_number,p_stat, vel_u, vel_v
0.091837,0.541997,449,101335.855922,4.797274,0.376199
0.091837,0.552063,450,101335.639535,4.834613,0.369153
0.091837,0.562129,451,101335.425753,4.871222,0.361974
0.091837,0.572195,452,101335.214744,4.907089,0.354668
0.091837,0.582261,453,101335.006667,4.942203,0.347245
0.091837,0.592327,454,101334.801679,4.976553,0.339710
0.091837,0.602393,455,101334.599933,5.010129,0.332072
0.091837,0.612459,456,101334.401577,5.042922,0.324337
0.091837,0.622525,457,101334.206752,5.074924,0.316512
0.091837,0.632591,458,101334.015598,5.106126,0.308603
0.091837,0.642657,459,101333.828248,5.136521,0.300617
0.091837,0.652723,460,101333.644829,5.166103,0.292559
0.091837,0.662789,461,101333.465464,5.194866,0.284436
0.091837,0.672855,462,101333.290274,5.222804,0.276253
0.091837,0.682921,463,101333.119370,5.249913,0.268014
0.091837,0.692987,464,101332.952861,5.276188,0.259726
0.091837,0.703053,465,101332.790852,5.301626,0.251392
0.091837,0.713119,466,101332.633442,5.326223,0.243017
0.091837,0.723185,467,101332.480725,5.349975,0.234606
0.091837,0.733251,468,101332.332790,5.372882,0.226162
0.091837,0.743317,469,101332.189723,5.394940,0.217688
0.091837,0.753383,470,101332.051605,5.416147,0.209188
0.091837,0.763449,471,101331.918510,5.436503,0.200666
0.091837,0.773515,472,101331.790512,5.456006,0.192123
0.091837,0.783581,473,101331.667679,5.474655,0.183562
0.091837,0.793647,474,101331.550073,5.492450,0.174986
0.091837,0.803713,475,101331.437755,5.509390,0.166397
0.091837,0.813779,476,101331.330780,5.525474,0.157795
0.091837,0.823845,477,101331.229201,5.540703,0.149183
0.091837,0.833911,478,101331.133065,5.555078,0.140562
0.091837,0.843977,479,101331.042418,5.568597,0.131932
0.091837,0.854043,480,101330.957300,5.581262,0.123294
0.091837,0.864109,481,101330.877748,5.593074,0.114650
0.091837,0.874175,482,101330.803796,5.604032,0.105998
0.091837,0.884241,483,101330.735471,5.614138,0.097339
0.091837,0.894307,484,101330.672800,5.623393,0.088673
0.091837,0.904373,485,101330.615803,5.631799,0.080000
0.091837,0.914439,486,101330.564497,5.639356,0.071319
0.091837,0.924505,487,101330.518894,5.646066,0.062630
0.091837,0.934571,488,101330.479000,5.651931,0.053929
0.091837,0.944637,489,101330.444833,5.656952,0.045227
0.091837,0.954703,490,101330.416360,5.661135,0.036492
