x,y
0.071429,0.581899
0.071429,0.591974
0.071429,0.602049
0.071429,0.612123
0.071429,0.622198
0.071429,0.632273
0.071429,0.642348
0.071429,0.652422
0.071429,0.662497
0.071429,0.672572
0.071429,0.682646
0.071429,0.692721
0.071429,0.702796
0.071429,0.712871
0.071429,0.722945
0.071429,0.733020
0.071429,0.743095
0.071429,0.753169
0.071429,0.763244
0.071429,0.773319
0.071429,0.783394
0.071429,0.793468
0.071429,0.803543
0.071429,0.813618
0.071429,0.823692
0.071429,0.833767
0.071429,0.843842
0.071429,0.853917
0.071429,0.863991
0.071429,0.874066
0.071429,0.884141
0.071429,0.894215
0.071429,0.904290
0.071429,0.914365
0.071429,0.924440
0.071429,0.934514
0.071429,0.944589
0.071429,0.954664
0.071429,0.964738
0.071429,0.974813
0.071429,0.984888
0.071429,0.994963
0.091837,0.009298
0.091837,0.019356
0.091837,0.029414
0.091837,0.039472
0.091837,0.049530
0.091837,0.059587
0.091837,0.069645
0.091837,0.079703
0.091837,0.089761
0.091837,0.099819
0.091837,0.109877
0.091837,0.119935
0.091837,0.129993
0.091837,0.140051
0.091837,0.150108
0.091837,0.160166
0.091837,0.170224
0.091837,0.180282
0.091837,0.190340
0.091837,0.200398
0.091837,0.210456
0.091837,0.220514
0.091837,0.230572
0.091837,0.240629
0.091837,0.250687
0.091837,0.260745
0.091837,0.270803
0.091837,0.280861
0.091837,0.290919
0.091837,0.300977
0.091837,0.311035
0.091837,0.321093
0.091837,0.331150
0.091837,0.341208
0.091837,0.351266
0.091837,0.361324
0.091837,0.371382
0.091837,0.381440
0.091837,0.391498
0.091837,0.401556
0.091837,0.411614
0.091837,0.421671
0.091837,0.431729
0.091837,0.441787
0.091837,0.451845
0.091837,0.461903
0.091837,0.471961
0.091837,0.482019
0.091837,0.492077
0.091837,0.502135
0.091837,0.512192
0.091837,0.522250
0.091837,0.532308
0.091837,0.542366
0.091837,0.552424
0.091837,0.562482
0.091837,0.572540
0.091837,0.582598
0.091837,0.592656
0.091837,0.602713
0.091837,0.612771
0.091837,0.622829
