x,y,cell_number,p_stat, vel_u, vel_v
0.091837,0.361324,431,101340.333395,3.966497,0.267131
0.091837,0.371382,432,101340.204755,3.993090,0.265092
0.091837,0.381440,433,101340.076292,4.019476,0.262960
0.091837,0.391498,434,101339.948071,4.045647,0.260737
0.091837,0.401556,435,101339.820157,4.071591,0.258421
0.091837,0.411614,436,101339.692616,4.097302,0.256015
0.091837,0.421671,437,101339.565517,4.122768,0.253518
0.091837,0.431729,438,101339.438926,4.147983,0.250931
0.091837,0.441787,439,101339.312913,4.172935,0.248255
0.091837,0.451845,440,101339.187545,4.197617,0.245490
0.091837,0.461903,441,101339.062894,4.222019,0.242636
0.091837,0.471961,442,101338.939028,4.246133,0.239696
0.091837,0.482019,443,101338.816018,4.269948,0.236669
0.091837,0.492077,444,101338.693932,4.293459,0.233557
0.091837,0.502135,445,101338.572844,4.316654,0.230360
0.091837,0.512192,446,101338.452821,4.339527,0.227080
0.091837,0.522250,447,101338.333937,4.362067,0.223717
0.091837,0.532308,448,101338.216258,4.384269,0.220273
0.091837,0.542366,449,101338.099858,4.406121,0.216749
0.091837,0.552424,450,101337.984804,4.427619,0.213147
0.091837,0.562482,451,101337.871168,4.448751,0.209467
0.091837,0.572540,452,101337.759016,4.469513,0.205711
0.091837,0.582598,453,101337.648420,4.489895,0.201880
0.091837,0.592656,454,101337.539445,4.509891,0.197976
0.091837,0.602713,455,101337.432161,4.529492,0.194000
0.091837,0.612771,456,101337.326632,4.548693,0.189954
0.091837,0.622829,457,101337.222926,4.567485,0.185840
0.091837,0.632887,458,101337.121106,4.585863,0.181658
0.091837,0.642945,459,101337.021238,4.603818,0.177411
0.091837,0.653003,460,101336.923383,4.621346,0.173099
0.091837,0.663061,461,101336.827604,4.638439,0.168726
0.091837,0.673119,462,101336.733962,4.655092,0.164292
0.091837,0.683177,463,101336.642516,4.671298,0.159799
0.091837,0.693234,464,101336.553324,4.687052,0.155249
0.091837,0.703292,465,101336.466445,4.702348,0.150644
0.091837,0.713350,466,101336.381931,4.717182,0.145985
0.091837,0.723408,467,101336.299840,4.731546,0.141273
0.091837,0.733466,468,101336.220223,4.745438,0.136512
0.091837,0.743524,469,101336.143132,4.758851,0.131701
0.091837,0.753582,470,101336.068616,4.771781,0.126844
0.091837,0.763640,471,101335.996723,4.784224,0.121941
0.091837,0.773698,472,101335.927501,4.796175,0.116995
0.091837,0.783755,473,101335.860993,4.807630,0.112006
0.091837,0.793813,474,101335.797243,4.818586,0.106977
0.091837,0.803871,475,101335.736293,4.829038,0.101909
0.091837,0.813929,476,101335.678180,4.838985,0.096803
0.091837,0.823987,477,101335.622945,4.848420,0.091661
0.091837,0.834045,478,101335.570620,4.857343,0.086484
0.091837,0.844103,479,101335.521241,4.865748,0.081274
0.091837,0.854161,480,101335.474837,4.873637,0.076031
0.091837,0.864219,481,101335.431439,4.881003,0.070758
0.091837,0.874276,482,101335.391072,4.887847,0.065455
0.091837,0.884334,483,101335.353759,4.894165,0.060123
0.091837,0.894392,484,101335.319521,4.899958,0.054764
0.091837,0.904450,485,101335.288376,4.905222,0.049378
0.091837,0.914508,486,101335.260336,4.909959,0.043966
0.091837,0.924566,487,101335.235414,4.914166,0.038531
0.091837,0.934624,488,101335.213615,4.917845,0.033069
0.091837,0.944682,489,101335.194955,4.920993,0.027594
0.091837,0.954740,490,101335.179403,4.923617,0.022073
0.091837,0.964797,491,101335.167023,4.925704,0.016582
0.091837,0.974855,492,101335.157752,4.927256,0.011008
0.091837,0.984913,493,101335.151528,4.920928,0.005447
0.091837,0.994971,494,101335.148546,4.906703,0.001375
